Mexico,,Guatemala,,Brazil,,Honduras,,El Salvador,
Date,Total,Date,Total,Date,Total,Date,Total,Date,Total
2008-04,"20,438",2019-03,"1,798",2021-07,"2,715",2018-12,"1,785",2018-12,480
2008-03,"18,750",2018-12,"1,340",2021-08,"2,681",2019-03,"1,134",2019-04,473
2009-03,"16,356",2019-02,"1,298",2021-04,"1,910",2019-02,"1,018",2019-03,445
2008-05,"15,871",2019-04,"1,262",2021-12,"1,663",2019-04,948,2019-05,321
2008-02,"14,961",2018-11,"1,072",2021-10,"1,490",2018-11,803,2019-02,318
2008-08,"13,547",2019-01,956,2021-11,"1,480",2019-05,736,2018-11,295
2008-07,"12,999",2018-10,833,2021-06,"1,480",2019-01,435,2016-12,245
2022-03,"12,835",2019-05,714,2021-09,"1,308",2021-02,425,2018-10,240
2008-09,"12,819",2018-09,582,2021-05,"1,154",2021-04,373,2019-06,204
2008-01,"12,786",2018-08,570,2022-07,"1,122",2021-03,320,2017-01,203
2009-04,"12,493",2016-12,570,2022-06,822,2018-10,317,2021-04,190
2021-06,"12,396",2016-11,474,2022-05,701,2018-09,303,2019-01,181
2008-06,"12,248",2018-07,384,2022-01,614,2019-06,295,2018-08,178
2021-05,"11,729",2018-06,355,2021-03,426,2018-08,232,2021-03,178
2021-03,"11,568",2016-10,337,2022-04,341,2021-06,230,2021-05,167
2009-02,"11,563",2017-01,333,2022-02,283,2018-07,224,2016-11,167
2021-07,"11,373",2016-09,326,2020-02,91,2021-01,216,2018-09,159
2021-10,"11,232",2021-04,322,2022-03,70,2021-07,216,2021-07,153
2021-04,"10,951",2021-03,311,2019-12,68,2019-07,209,2021-02,149
2022-02,"10,864",2018-05,311,2019-11,53,2021-05,194,2021-06,145
2009-05,"10,859",2019-06,310,2020-01,50,2020-12,162,2019-07,136
2022-05,"10,789",2018-03,263,2020-03,46,2018-04,159,2021-12,134
2022-04,"10,529",2021-07,250,2019-06,24,2021-12,157,2016-10,133
2009-06,"10,138",2021-05,250,2021-02,24,2016-12,149,2021-09,126
2009-01,"10,123",2021-06,242,2021-01,18,2018-05,146,2018-07,122
2021-09,"9,954",2016-08,236,2019-07,17,2018-06,137,2017-12,116
2008-10,"9,873",2015-12,234,2019-10,16,2019-12,134,2021-10,116
2021-11,"9,688",2017-12,234,2020-12,15,2021-08,131,2021-11,116
2007-10,"9,662",2016-04,229,2019-08,15,2019-09,121,2022-05,112
2022-01,"9,634",2016-07,224,2019-04,12,2021-10,116,2016-09,108
2021-08,"9,337",2017-11,219,2018-06,12,2017-12,112,2019-08,106
2007-11,"9,066",2021-08,207,2018-03,10,2016-10,108,2021-08,102
2021-12,"9,014",2018-04,203,2014-12,10,2016-11,107,2022-04,101
2010-03,"8,949",2021-02,200,2016-10,9,2017-01,107,2018-04,97
2021-02,"8,546",2016-05,197,2019-05,9,2020-11,106,2018-06,90
2009-07,"8,542",2018-02,182,2016-09,9,2022-02,102,2022-03,90
2021-01,"8,508",2021-01,178,2016-04,8,2019-08,101,2016-06,84
2020-12,"8,000",2017-10,177,2016-07,8,2019-10,101,2017-02,83
2008-11,"7,819",2021-12,174,2017-08,8,2021-11,98,2018-03,82
2007-12,"7,667",2018-01,174,2018-02,8,2019-11,94,2017-11,82
2020-11,"7,370",2021-11,167,2018-11,8,2022-01,93,2018-05,81
2010-04,"6,998",2017-08,166,2016-11,8,2022-05,90,2017-10,77
2010-02,"6,896",2014-06,164,2019-03,8,2018-03,89,2016-08,77
2020-10,"6,680",2021-10,160,2020-09,7,2022-03,87,2021-01,76
2009-08,"6,650",2021-09,156,2013-02,7,2018-02,85,2020-12,74
2008-12,"6,401",2016-06,154,2019-09,7,2020-01,83,2019-09,72
2009-09,"6,399",2017-09,150,2018-04,7,2020-07,82,2017-05,72
2010-01,"6,299",2017-07,150,2016-05,6,2021-09,79,2016-07,71
2020-09,"5,866",2022-04,148,2019-02,6,2016-07,79,2022-02,69
2020-08,"5,823",2022-03,145,2018-01,6,2020-03,78,2018-01,67
2010-05,"5,757",2019-07,138,2015-04,6,2016-09,75,2019-12,67
2020-07,"5,327",2016-01,137,2019-01,5,2017-11,74,2020-10,66
2010-07,"4,971",2015-08,132,2017-05,5,2014-07,73,2020-11,65
2010-06,"4,964",2015-11,131,2013-11,5,2018-01,71,2019-10,59
2009-10,"4,922",2022-05,129,2018-05,5,2014-05,69,2022-01,58
2020-06,"4,720",2015-04,129,2017-06,5,2020-10,67,2020-01,57
2011-03,"4,716",2016-03,122,2017-09,5,2020-05,65,2017-08,57
2009-11,"4,633",2019-08,122,2014-04,5,2017-06,64,2015-12,55
2009-12,"4,540",2014-12,122,2020-11,5,2016-06,63,2020-03,55
2010-08,"4,409",2022-02,120,2012-12,4,2020-09,61,2017-07,54
2010-10,"4,257",2015-03,119,2017-02,4,2020-02,59,2019-11,52
2011-04,"3,934",2022-01,115,2020-06,4,2022-04,56,2016-05,51
2010-09,"3,921",2020-12,113,2015-05,4,2020-08,56,2020-08,50
2011-02,"3,881",2015-09,112,2011-06,4,2017-03,55,2017-04,48
2020-03,"3,822",2014-05,111,2016-08,4,2017-09,55,2020-09,48
2020-02,"3,508",2017-02,110,2017-03,4,2016-08,54,2017-03,47
2019-05,"3,431",2014-07,109,2014-02,4,2020-06,54,2020-02,46
2020-01,"3,426",2015-06,101,2015-06,4,2017-10,54,2015-09,46
2010-11,"3,391",2020-11,99,2017-04,4,2017-02,53,2017-09,44
2011-05,"3,378",2014-08,97,2015-07,4,2017-04,52,2016-04,40
2018-03,"3,326",2015-05,97,2018-10,3,2008-08,51,2018-02,40
2011-01,"3,301",2015-10,94,2015-03,3,2014-06,50,2008-12,38
2014-03,"3,257",2019-10,93,2015-01,3,2014-08,48,2010-06,38
2019-03,"3,201",2017-06,92,2018-12,3,2017-07,47,2014-09,38
2019-04,"3,161",2019-11,91,2016-06,3,2017-05,43,2014-08,37
2020-05,"3,157",2015-07,90,2012-07,3,2013-07,41,2017-06,36
2010-12,"3,155",2019-09,89,2013-03,3,2020-04,41,2008-08,36
2019-12,"3,133",2008-08,88,2012-02,2,2016-03,40,2014-05,35
2019-11,"3,131",2008-10,84,2017-11,2,2014-01,40,2012-04,35
2019-10,"3,085",2016-02,82,2018-08,2,2016-04,40,2020-06,34
2019-06,"3,061",2017-05,82,2016-01,2,2016-02,39,2008-04,34
2011-06,"2,994",2019-12,78,2013-05,2,2014-03,39,2008-05,34
2012-03,"2,966",2010-07,77,2014-11,2,2013-11,38,2020-05,34
2013-03,"2,952",2015-02,75,2017-12,2,2015-08,37,2016-03,33
2011-07,"2,911",2014-04,74,2020-10,2,2013-06,37,2016-02,33
2018-04,"2,901",2020-02,74,2009-05,2,2017-08,36,2008-02,33
2014-04,"2,882",2008-05,72,2010-01,2,2015-09,36,2012-07,33
2019-09,"2,828",2020-10,72,2015-09,2,2009-03,36,2011-05,32
2019-08,"2,761",2010-08,71,2018-09,2,2013-09,35,2014-07,32
2012-04,"2,760",2007-10,71,2017-01,2,2015-05,35,2008-10,32
2011-08,"2,744",2008-06,70,2017-07,2,2010-04,34,2009-10,32
2013-05,"2,739",2009-06,70,2008-09,2,2013-05,34,2008-11,32
2013-04,"2,737",2020-01,70,2009-06,2,2009-05,32,2013-06,31
2015-03,"2,703",2008-09,69,2010-02,1,2012-08,32,2008-09,30
2012-05,"2,689",2014-10,68,2015-11,1,2013-08,32,2008-07,29
2014-05,"2,637",2014-09,68,2010-06,1,2012-01,31,2010-07,29
2011-09,"2,619",2008-11,67,2011-05,1,2011-06,31,2009-03,28
2018-01,"2,617",2015-01,65,2013-04,1,2013-03,30,2012-03,28
2016-04,"2,611",2020-03,64,2014-10,1,2013-12,30,2020-04,28
2018-02,"2,588",2011-09,63,2008-03,1,2015-12,29,2014-01,27
2016-03,"2,555",2008-07,62,2009-04,1,2012-05,29,2009-06,27
2016-05,"2,495",2008-12,60,2009-07,1,2009-07,29,2007-10,27
2019-02,"2,408",2013-11,59,2015-08,1,2016-05,28,2009-04,27
2014-01,"2,408",2009-04,59,2010-04,1,2014-09,28,2009-07,27
2018-05,"2,375",2010-03,58,2010-07,1,2009-01,28,2013-12,27
2011-10,"2,368",2014-11,58,2012-06,1,2012-09,28,2014-06,27
2014-02,"2,368",2009-02,58,2020-04,1,2011-07,27,2010-03,26
2012-02,"2,360",2009-05,58,2008-01,1,2008-03,27,2015-05,26
2018-10,"2,357",2011-08,57,2008-04,1,2008-06,27,2010-01,26
2016-09,"2,355",2008-02,57,2010-05,1,2013-10,27,2008-06,25
2015-02,"2,340",2008-03,56,2016-03,1,2015-10,27,2015-10,25
2019-07,"2,287",2008-04,56,2011-03,1,2008-10,27,2013-05,25
2014-07,"2,257",2009-01,55,2011-07,1,2022-07,27,2013-08,25
2013-06,"2,182",2014-03,55,2013-10,1,2012-07,26,2020-07,25
2014-06,"2,178",2020-09,54,2017-10,1,2008-12,26,2009-01,24
2013-02,"2,149",2009-12,52,2020-07,1,2008-05,25,2022-06,24
2020-04,"2,149",2010-04,52,2008-02,1,2010-07,24,2009-11,24
2013-07,"2,139",2011-11,51,2018-07,1,2014-04,24,2015-07,23
2016-10,"2,128",2011-04,51,,,2013-02,24,2009-02,23
2015-05,"2,107",2009-11,51,,,2014-02,24,2009-08,23
2014-12,"2,102",2011-06,50,,,2012-12,23,2013-04,22
2015-04,"2,099",2013-07,49,,,2015-11,23,2011-11,22
2012-01,"2,085",2011-02,49,,,2012-04,23,2012-05,22
2016-02,"2,084",2014-01,49,,,2012-10,23,2013-10,21
2011-11,"2,083",2010-01,49,,,2007-12,23,2011-08,21
2013-10,"2,081",2010-09,48,,,2011-08,23,2007-11,21
2013-01,"2,080",2011-03,48,,,2010-06,23,2011-07,21
2016-01,"2,080",2009-08,48,,,2010-01,23,2008-03,20
2012-06,"2,078",2010-05,47,,,2013-04,22,2011-02,20
2016-08,"2,069",2014-02,46,,,2008-09,22,2014-02,20
2012-07,"2,060",2022-06,46,,,2015-02,22,2009-05,20
2011-12,"2,049",2009-09,45,,,2012-06,22,2015-01,20
2016-11,"2,042",2010-06,45,,,2008-11,21,2010-08,19
2018-08,"2,035",2010-12,45,,,2009-02,21,2013-07,19
2016-06,"2,029",2008-01,44,,,2011-11,21,2015-03,19
2014-10,"2,000",2007-11,44,,,2007-10,21,2016-01,19
2015-01,"1,999",2007-12,43,,,2008-04,21,2015-08,19
2018-09,"1,982",2010-11,42,,,2008-07,21,2013-01,19
2019-01,"1,975",2017-04,42,,,2012-03,21,2010-05,19
2013-12,"1,966",2010-10,42,,,2014-12,20,2014-04,18
2017-11,"1,965",2012-01,42,,,2010-11,20,2008-01,18
2013-11,"1,965",2012-04,42,,,2011-02,20,2013-09,18
2013-08,"1,945",2012-08,41,,,2012-02,20,2007-12,17
2014-09,"1,944",2011-12,41,,,2015-04,20,2012-08,17
2015-06,"1,929",2011-05,40,,,2011-03,20,2013-02,17
2014-08,"1,928",2009-07,40,,,2015-06,19,2011-12,17
2016-07,"1,919",2011-01,40,,,2012-11,19,2012-09,17
2012-08,"1,909",2012-05,39,,,2009-04,19,2013-03,17
2018-06,"1,908",2009-10,39,,,2011-12,19,2015-11,17
2012-09,"1,900",2017-03,38,,,2011-09,18,2011-04,17
2017-12,"1,886",2011-07,38,,,2015-01,17,2010-02,17
2017-10,"1,876",2013-04,37,,,2014-10,17,2014-10,16
2017-01,"1,872",2010-02,37,,,2009-06,17,2015-04,16
2013-09,"1,862",2013-10,36,,,2015-07,17,2009-12,16
2012-10,"1,860",2020-08,36,,,2010-09,17,2012-11,16
2012-11,"1,859",2012-06,36,,,2008-02,16,2011-06,16
2014-11,"1,830",2011-10,36,,,2022-06,16,2022-07,16
2015-07,"1,822",2020-07,36,,,2013-01,16,2011-09,16
2016-12,"1,817",2009-03,34,,,2011-01,15,2015-02,16
2015-10,"1,801",2022-07,34,,,2009-08,15,2012-10,16
2018-11,"1,796",2012-12,34,,,2009-12,15,2012-06,15
2017-08,"1,743",2013-05,32,,,2011-04,14,2009-09,14
2012-12,"1,719",2012-03,32,,,2009-11,14,2013-11,14
2015-12,"1,698",2013-03,32,,,2010-02,13,2014-03,14
2017-09,"1,698",2020-05,31,,,2010-05,13,2012-02,13
2015-11,"1,684",2012-02,30,,,2010-08,13,2014-11,13
2015-09,"1,679",2020-04,29,,,2009-09,13,2010-10,13
2015-08,"1,659",2013-12,29,,,2016-01,13,2011-01,13
2018-07,"1,623",2012-09,27,,,2010-12,13,2010-04,12
2018-12,"1,530",2013-09,27,,,2007-11,12,2012-01,12
2017-05,"1,448",2012-07,27,,,2010-10,12,2014-12,12
2017-02,"1,372",2020-06,26,,,2011-10,11,2010-11,11
2017-07,"1,338",2012-11,24,,,2011-05,11,2010-09,11
2017-06,"1,334",2013-06,23,,,2010-03,11,2010-12,11
2017-04,"1,160",2013-02,22,,,2009-10,10,2012-12,11
2017-03,"1,074",2013-01,19,,,2015-03,9,2011-10,11
2022-07,550,2013-08,16,,,2008-01,8,2015-06,11
2022-06,440,2012-10,15,,,2014-11,7,2011-03,10